,Name,Score,Review,Link,Addr,lat,lng
171,호재돈까스,4.6,35,https://place.map.kakao.com/1953570472,"
서울 노원구 석계로3길 15-1
(지번) 월계동 55
",37.615677,127.0637105
172,서초우동 광운대역점,4.9,4,https://place.map.kakao.com/21556473,"
서울 노원구 석계로18길 23
(지번) 월계동 382-3
",37.6240119,127.0606867
173,육장군,4.4,33,https://place.map.kakao.com/27576442,"
서울 노원구 화랑로 337-15
(지번) 월계동 62-10
",37.6155497,127.0650407
174,오메가생선구이 본점,4.3,17,https://place.map.kakao.com/17271272,"
서울 노원구 화랑로 343
(지번) 월계동 38-6
",37.6152321,127.0660166
175,기와집,4.1,6,https://place.map.kakao.com/8690963,"
서울 노원구 석계로 35
(지번) 월계동 73-2
",37.6178927,127.0637212
176,장군숯불족발,4.5,25,https://place.map.kakao.com/8073706,"
서울 노원구 화랑로43가길 27
(지번) 월계동 51-6
",37.615009,127.0632182
177,마시써머거바,3.5,11,https://place.map.kakao.com/914234380,"
서울 노원구 월계동 46-3

",37.6148558,127.0650279
178,삼대냉면,3.9,16,https://place.map.kakao.com/16380812,"
서울 노원구 석계로9길 33 1층
(지번) 월계동 435-11
",37.6175717,127.0634591
179,황금오리,3.5,7,https://place.map.kakao.com/9630494,"
서울 노원구 석계로1길 22
(지번) 월계동 54-1
",37.6155313,127.0633986
180,한입삼겹살,3.0,1,https://place.map.kakao.com/299247092,"
서울 노원구 화랑로 337-4
(지번) 월계동 36-5
",37.6157572,127.0651911
181,왕코등갈비 석계점,3.0,8,https://place.map.kakao.com/23123025,"
서울 노원구 석계로 22
(지번) 월계동 66-4
",37.6168716,127.064374
182,그남자의돼지갈비 4호점,3.7,10,https://place.map.kakao.com/2031372265,"
서울 노원구 월계로 336 2층
(지번) 월계동 292-59
",37.6291401,127.0578102
183,맘스터치 석계역점,2.2,4,https://place.map.kakao.com/1367802236,"
서울 노원구 석계로1길 18 2층
(지번) 월계동 56
",37.6155031,127.0637115
184,미가양꼬치,4.7,5,https://place.map.kakao.com/13027304,"
서울 노원구 석계로 13-3 1층
(지번) 월계동 63-7
",37.6159043,127.0642004
185,엉터리앙평해장국 석계역점,5.0,10,https://place.map.kakao.com/1512390559,"
서울 노원구 석계로1길 14
(지번) 월계동 56-8
",37.6155226,127.0638982
186,초안산갈비,5.0,6,https://place.map.kakao.com/1635721809,"
서울 노원구 덕릉로60길 263
(지번) 월계동 799
",37.6297452,127.0465414
187,호호커피집,4.3,9,https://place.map.kakao.com/16421234,"
서울 노원구 화랑로 337-21 1층, 2층
(지번) 월계동 62-7
",37.6158453,127.0649328
188,제주본가,3.5,5,https://place.map.kakao.com/9408821,"
서울 노원구 석계로1길 18
(지번) 월계동 56
",37.6155031,127.0637115
189,친친,3.8,2,https://place.map.kakao.com/27475357,"
서울 노원구 석계로18길 10-9 2층
(지번) 월계동 379-2
",37.6235883,127.0608982
190,우리집,4.0,3,https://place.map.kakao.com/16851034,"
서울 노원구 광운로22길 9
(지번) 월계동 298-6
",37.6284436,127.0592714
191,수해복마라탕 광운대점,4.4,11,https://place.map.kakao.com/961930767,"
서울 노원구 광운로 39 2층
(지번) 월계동 402-7
",37.6210305,127.0588993
192,후아나 석계점,4.2,4,https://place.map.kakao.com/1671540851,"
서울 노원구 석계로1길 18 301호
(지번) 월계동 56
",37.6155031,127.0637115
193,육수당 석계역점,3.6,18,https://place.map.kakao.com/1892516181,"
서울 노원구 화랑로 343 1층 102호
(지번) 월계동 38-6
",37.6152321,127.0660166
194,군자대한곱창 석계역점,5.0,25,https://place.map.kakao.com/125798933,"
서울 노원구 석계로 14-1 1층
(지번) 월계동 64-12
",37.6161232,127.064525
195,태백마루,3.6,15,https://place.map.kakao.com/19176066,"
서울 노원구 화랑로 349 2층
(지번) 월계동 26-13
",37.6153327,127.0666576
196,애슐리퀸즈 이마트월계점,2.6,59,https://place.map.kakao.com/680801617,"
서울 노원구 마들로3길 15 이마트월계점 1층 애슐리퀸즈
(지번) 월계동 333-1
",37.6265118,127.0619079
197,샐러드조이,4.8,47,https://place.map.kakao.com/87024728,"
서울 노원구 초안산로2라길 31 BS빌딩 2층
(지번) 월계동 276-18
",37.6311433,127.0581747
198,신연마라탕,4.3,6,https://place.map.kakao.com/364066914,"
서울 노원구 광운로 35
(지번) 월계동 402-18
",37.62066890000001,127.0586353
199,싱싱오징어바다 석계역점,2.0,14,https://place.map.kakao.com/19839143,"
서울 노원구 석계로 14
(지번) 월계동 61-8
",37.6160108,127.0645547
200,여자만아구찜,3.5,5,https://place.map.kakao.com/534426827,"
서울 노원구 석계로18길 10-8
(지번) 월계동 379-10
",37.6234861,127.0608575
201,클라우드9,4.0,9,https://place.map.kakao.com/20744235,"
서울 노원구 화랑로 337-23
(지번) 월계동 62-6
",37.6159207,127.0649047
202,와플팝,5.0,1,https://place.map.kakao.com/574585945,"
서울 노원구 초안산로2라길 17 1층
(지번) 월계동 272-31
",37.6315623,127.0575021
203,하다식당 월계직영점,4.3,10,https://place.map.kakao.com/727616311,"
서울 노원구 초안산로2길 122 1층
(지번) 월계동 271-23
",37.6338021,127.0582658
204,파리바게뜨 석계역점,4.5,84,https://place.map.kakao.com/21656626,"
서울 노원구 마들로 31 상가동 107,108,148호
(지번) 월계동 18
",37.6176466,127.0685939
205,롯데리아 석계점,1.8,0,https://place.map.kakao.com/7857648,"
서울 노원구 화랑로 325
(지번) 월계동 50-29
",37.6149164,127.0640383
206,장어구이셀프타운,3.5,9,https://place.map.kakao.com/20740538,"
서울 노원구 화랑로45길 40
(지번) 월계동 21-34
",37.6167711,127.065329
207,도미노피자 월계점,4.3,1,https://place.map.kakao.com/26815517,"
서울 노원구 광운로 52
(지번) 월계동 409-16
",37.6218638,127.0596658
208,아빵,4.4,10,https://place.map.kakao.com/27550729,"
서울 노원구 초안산로2라길 13
(지번) 월계동 655-14
",37.6316399,127.0573935
209,노란오빠생각,1.0,0,https://place.map.kakao.com/980550235,"
서울 노원구 화랑로 337
(지번) 월계동 46-1
",37.6152064,127.0651538
210,화돌농장,4.3,0,https://place.map.kakao.com/26849111,"
서울 노원구 광운로 133
(지번) 월계동 297
",37.6282142,127.0579624
211,보리보리 옥선이시골밥상,1.7,5,https://place.map.kakao.com/11814895,"
서울 노원구 월계로55길 64
(지번) 월계동 320-4
",37.633906,127.0596535
212,엘가커피 석계점,3.0,7,https://place.map.kakao.com/24693403,"
서울 노원구 석계로1길 22
(지번) 월계동 54-1
",37.6155313,127.0633986
213,빽다방 광운대점,4.3,4,https://place.map.kakao.com/27094505,"
서울 노원구 광운로 43 로얄포토빌딩 1층
(지번) 월계동 393-14
",37.6213106,127.0590011
214,써브웨이 광운대역점,1.9,7,https://place.map.kakao.com/2024470096,"
서울 노원구 광운로 57
(지번) 월계동 383-16
",37.622599,127.0595456
215,스타벅스 월계트레이더스점,5.0,7,https://place.map.kakao.com/780657144,"
서울 노원구 마들로3길 17
(지번) 월계동 333-1
",37.6281557,127.0626394
216,소문난곱창,4.7,4,https://place.map.kakao.com/13287923,"
서울 노원구 석계로7길 12-8 1층
(지번) 월계동 68-25
",37.6163437,127.0632513
217,용궁중화요리,2.0,9,https://place.map.kakao.com/8458383,"
서울 노원구 월계로 325
(지번) 월계2동 600
",37.6281642,127.0527347
218,꿈의김밥,4.0,1,https://place.map.kakao.com/866759727,"
서울 노원구 석계로3길 41 1층
(지번) 월계동 485-5
",37.616447,127.0625319
219,카페베르데 광운대본점,4.0,1,https://place.map.kakao.com/16298833,"
서울 노원구 광운로 17-3 1층
(지번) 월계동 496-4
",37.6191985,127.0576287
220,BHC치킨 월계스타점,4.2,1,https://place.map.kakao.com/1219738630,"
서울 노원구 초안산로2라길 19 201호
(지번) 월계동 274-46
",37.63143460000001,127.0576408
221,마포연탄불고기,4.4,5,https://place.map.kakao.com/21353407,"
서울 노원구 석계로18길 4
(지번) 월계동 379-25
",37.6232258,127.0605334
222,메가커피 석계역점,1.7,1,https://place.map.kakao.com/931744501,"
서울 노원구 화랑로 337 1층 103호
(지번) 월계동 46-1
",37.6152064,127.0651538
223,교촌치킨 석계역점,1.8,4,https://place.map.kakao.com/16051747,"
서울 노원구 석계로 31
(지번) 월계동 73-13
",37.6175018,127.0638541
224,커피나무,3.0,0,https://place.map.kakao.com/1030306506,"
서울 노원구 화랑로 325
(지번) 월계동 50
",37.6149164,127.0640383
225,백채김치찌개 석계점,3.3,13,https://place.map.kakao.com/27441093,"
서울 노원구 석계로3길 17
(지번) 월계동 55-8
",37.6158483,127.0636041
226,옥남집,5.0,3,https://place.map.kakao.com/27524740,"
서울 노원구 광운로 68
(지번) 월계동 379-43
",37.6232768,127.0602564
227,이상봉 이참치,3.1,14,https://place.map.kakao.com/22320179,"
서울 노원구 석계로 21 2층
(지번) 월계동 68-20
",37.6166236,127.0641121
228,배스킨라빈스 석계점,3.0,3,https://place.map.kakao.com/26794261,"
서울 노원구 석계로1길 10
(지번) 월계동 58-2
",37.6155882,127.0640979
229,디델리 광운대점,3.0,11,https://place.map.kakao.com/16081384,"
서울 노원구 광운로 31
(지번) 월계동 465-9
",37.6203955,127.0584779
230,향원,4.1,1,https://place.map.kakao.com/19032295,"
서울 노원구 석계로 27
(지번) 월계동 73-17
",37.6172562,127.0638991
231,윤스쿡,4.8,14,https://place.map.kakao.com/2123663334,"
서울 노원구 광운로 29 2층
(지번) 월계동 465-10
",37.6202851,127.0584102
232,피자굽는오빠 2호점,5.0,27,https://place.map.kakao.com/140659618,"
서울 노원구 초안산로5길 12
(지번) 월계동 776
",37.6325296,127.0517095
233,장수국수,1.0,20,https://place.map.kakao.com/24997619,"
서울 노원구 광운로 27
(지번) 월계동 465-11
",37.6201787,127.0582915
234,뚜레쥬르 카페광운대역점,4.5,2,https://place.map.kakao.com/814390841,"
서울 노원구 석계로 105
(지번) 월계동 383-42
",37.6228285,127.0605396
235,어반,5.0,11,https://place.map.kakao.com/685806660,"
서울 노원구 석계로3길 11 2층
(지번) 월계동 55-13
",37.6157066,127.0639174
236,석계3층집,4.3,5,https://place.map.kakao.com/26853973,"
서울 노원구 석계로 21 3층
(지번) 월계동 68-20
",37.6166236,127.0641121
237,이자카야 콤마,5.0,2,https://place.map.kakao.com/220378937,"
서울 노원구 석계로 10 2층
(지번) 월계동 61-11
",37.6157304,127.0646511
238,KFC 월계이마트점,2.0,0,https://place.map.kakao.com/8014030,"
서울 노원구 마들로3길 15 2층
(지번) 월계동 333-1
",37.62644,127.0619091
239,청계천8가삼성곱창,4.8,4,https://place.map.kakao.com/374001076,"
서울 노원구 석계로3길 32
(지번) 월계동 68-27
",37.6163191,127.0630987
240,빈대주막 석계점,3.0,4,https://place.map.kakao.com/16053856,"
서울 노원구 석계로1길 10
(지번) 월계동 58-2
",37.6155882,127.0640979
241,치킨에꼬치다,3.7,8,https://place.map.kakao.com/1036609254,"
서울 노원구 석계로 12 1층
(지번) 월계동 61-10
",37.61582569999999,127.0646182
242,맘스터치 월계역점,4.2,4,https://place.map.kakao.com/1286697365,"
서울 노원구 초안산로2라길 26 1층 107호
(지번) 월계동 951
",37.63115310000001,127.0577021
243,곤지암할매소머리국밥&순대국 본점,3.4,0,https://place.map.kakao.com/102346965,"
서울 노원구 월계로 338 상가 A동 101호
(지번) 월계동 942
",37.6290993,127.0586774
244,미아리우동집 석계역점,3.0,4,https://place.map.kakao.com/55284543,"
서울 노원구 석계로3길 27 1층
(지번) 월계동 68-9
",37.6160918,127.0631899
245,더원,3.6,10,https://place.map.kakao.com/152856273,"
서울 노원구 광운로 61
(지번) 월계동 383-21
",37.6229034,127.0597592
246,미식성,4.0,1,https://place.map.kakao.com/9443559,"
서울 노원구 광운로 9
(지번) 월계동 469-16
",37.6186541,127.0572675
247,이디야커피 월계인덕점,0.0,1,https://place.map.kakao.com/1586230348,"
서울 노원구 광운로22길 39
(지번) 월계동 290-1
",37.6285729,127.0592566
248,던킨도너츠 광운대역점,3.7,1,https://place.map.kakao.com/21332237,"
서울 노원구 석계로 98-2
(지번) 월계동 85-5
",37.6232015,127.0616631
249,노원골제주흑돼지 2호점,4.3,13,https://place.map.kakao.com/733033915,"
서울 노원구 석계로 19
(지번) 월계동 68-66
",37.616466,127.064122
250,노랑통닭 석계역점,3.0,8,https://place.map.kakao.com/27430275,"
서울 노원구 석계로 12-1
(지번) 월계동 61-9
",37.6159191,127.0645876
251,육회공작소 석계점,2.0,5,https://place.map.kakao.com/27264445,"
서울 노원구 석계로 16
(지번) 월계동 64-10
",37.6162877,127.0644753
252,리드브레드 석계역점,4.4,8,https://place.map.kakao.com/741643395,"
서울 노원구 화랑로 353 1층
(지번) 월계동 26-18
",37.6154081,127.0669636
253,햇살머믄꼬마김밥 석계역점,5.0,2,https://place.map.kakao.com/333894026,"
서울 노원구 화랑로45길 42
(지번) 월계동 21-23
",37.6169293,127.0652806
254,동대문엽기떡볶이 월계점,2.1,3,https://place.map.kakao.com/1346518616,"
서울 노원구 광운로 39 1층
(지번) 월계동 402-7
",37.6210305,127.0588993
255,공차 광운대점,3.1,4,https://place.map.kakao.com/1483893178,"
서울 노원구 광운로 20 80주년 기념관 지하1층 내 복지매장
(지번) 월계동 447-1
",37.6194277,127.05982
256,와라와라 석계역점,3.3,7,https://place.map.kakao.com/13082421,"
서울 노원구 석계로1길 14 3층
(지번) 월계동 56-8
",37.6155226,127.0638982
257,보배반점 월계점,5.0,1,https://place.map.kakao.com/149027499,"
서울 노원구 초안산로5길 12
(지번) 월계동 776
",37.6325296,127.0517095
258,여우곱창,5.0,11,https://place.map.kakao.com/13318900,"
서울 노원구 광운로 68
(지번) 월계동 379-43
",37.6232768,127.0602564
259,배스킨라빈스 광운대역점,5.0,1,https://place.map.kakao.com/14855950,"
서울 노원구 광운로 65
(지번) 월계동 383-25
",37.6231314,127.0599841
260,옛날통닭 석계점,4.0,2,https://place.map.kakao.com/1596819279,"
서울 노원구 석계로3길 36 1층
(지번) 월계동 486-6
",37.6163848,127.0629721
261,설빙 서울광운대점,2.0,1,https://place.map.kakao.com/530741465,"
서울 노원구 광운로 25 2층
(지번) 월계동 465-21
",37.6200275,127.058196
262,신당동즉석떡볶이,4.0,2,https://place.map.kakao.com/21412773,"
서울 노원구 석계로9길 47
(지번) 월계동 482-1
",37.6162801,127.062048
263,인정각,4.3,11,https://place.map.kakao.com/1816241497,"
서울 노원구 석계로3길 18 2층
(지번) 월계동 55-2
",37.6159588,127.0637942
264,최대포소금구이,3.3,9,https://place.map.kakao.com/16442113,"
서울 노원구 석계로7길 14
(지번) 월계동 68-28
",37.6163157,127.0635745
265,김밥천국 광운대점,2.9,1,https://place.map.kakao.com/10198074,"
서울 노원구 광운로 33
(지번) 월계동 402-19
",37.6205277,127.0585612
266,락궁,2.0,6,https://place.map.kakao.com/8314850,"
서울 노원구 마들로 31 그랑빌 아파트 주상가 2층
(지번) 월계3동 18
",37.6244076,127.0655937
267,은빛회포차,4.0,3,https://place.map.kakao.com/983033146,"
서울 노원구 석계로3길 8
(지번) 월계동 63-10
",37.6158099,127.0642208
268,이삭토스트 석계역점,5.0,2,https://place.map.kakao.com/1790780715,"
서울 노원구 석계로3길 21 1층
(지번) 월계동 55-7
",37.6159311,127.0634887
269,본죽 석계역점,3.3,2,https://place.map.kakao.com/26310162,"
서울 노원구 석계로 11-1 1층
(지번) 월계동 63-9
",37.6159083,127.0643566
270,싸다김밥,2.2,3,https://place.map.kakao.com/1385352415,"
서울 노원구 광운로 65
(지번) 월계동 383-25
",37.6231314,127.0599841
271,언니떡볶이 동생브리또,3.0,5,https://place.map.kakao.com/1224186927,"
서울 노원구 광운로10길 3
(지번) 월계동 403-8
",37.6208615,127.0592865
272,e푸른선참치 석계본점,4.3,1,https://place.map.kakao.com/9167092,"
서울 노원구 석계로1길 14
(지번) 월계동 56-7
",37.6155226,127.0638982
273,신전떡볶이 광운대점,3.0,3,https://place.map.kakao.com/27232145,"
서울 노원구 광운로 52 1층
(지번) 월계동 409-16
",37.6218638,127.0596658
274,서향,3.0,1,https://place.map.kakao.com/9163543,"
서울 노원구 석계로 95
(지번) 월계동 411-53
",37.6229119,127.0611616
275,홍콩반점0410 광운대동문점,0.0,1,https://place.map.kakao.com/1479862933,"
서울 노원구 석계로13길 23 부일빌딩 1층
(지번) 월계동 429-6
",37.6201758,127.0615516
276,꽃제비칼국수,5.0,3,https://place.map.kakao.com/16297377,"
서울 노원구 광운로12길 13
(지번) 월계동 407-16
",37.6212654,127.0598852
277,오네스토테이블,2.5,6,https://place.map.kakao.com/27382316,"
서울 노원구 월계동 925

",37.6218076,127.0603111
278,미스터피자 석계역점,0.0,0,https://place.map.kakao.com/44249129,"
서울 노원구 석계로1길 22 흥우빌딩 1층 105호
(지번) 월계동 54-1
",37.6155026,127.0634876
279,킹콩떡볶이 인덕대점,5.0,6,https://place.map.kakao.com/1755164268,"
서울 노원구 초안산로2길 124 1층
(지번) 월계동 271-17
",37.6338542,127.0583523
280,대명왕십리곱창,5.0,5,https://place.map.kakao.com/16502776,"
서울 노원구 석계로 18
(지번) 월계동 64-9
",37.61639359999999,127.0644332
282,커피랑도서관 강북본점,0.0,3,https://place.map.kakao.com/623107528,"
서울 노원구 석계로 102 주원21빌딩 8층
(지번) 월계동 413-1
",37.6232317,127.0609242
283,60계 월계점,2.3,4,https://place.map.kakao.com/27607636,"
서울 노원구 마들로 31 한진한화그랑빌 주상가 지하1층
(지번) 월계동 18-1
",37.618141,127.068792
284,이디야커피 석계역점,1.3,1,https://place.map.kakao.com/16879086,"
서울 노원구 석계로3길 3
(지번) 월계동 47-3
",37.6155161,127.0643253
285,진미통닭,4.0,2,https://place.map.kakao.com/2091088647,"
서울 노원구 광운로 45
(지번) 월계동 393-1
",37.6214621,127.0590116
286,노랑통닭 월계점,4.0,5,https://place.map.kakao.com/1664834673,"
서울 노원구 초안산로2라길 35
(지번) 월계동 276-19
",37.6310784,127.0582843
287,임자구포국수,5.0,5,https://place.map.kakao.com/22137056,"
서울 노원구 월계로 370 희성프라자 1층 122호
(지번) 월계동 321-2
",37.6308761,127.0610421
288,지지고 광운대점,4.0,0,https://place.map.kakao.com/313608874,"
서울 노원구 광운로 27
(지번) 월계동 465-11
",37.6201787,127.0582915
289,와플대학 광운대캠퍼스,4.0,9,https://place.map.kakao.com/22577995,"
서울 노원구 광운로 64 1층
(지번) 월계동 383-4
",37.6227985,127.0601672
290,양드림,5.0,7,https://place.map.kakao.com/2115946682,"
서울 노원구 광운로2가길 1
(지번) 월계동 476-24
",37.6174253,127.0586513
291,파파존스 광운대점,3.0,1,https://place.map.kakao.com/1333275014,"
서울 노원구 광운로 15 금혁빌딩 101호
(지번) 월계동 469-3
",37.6190235,127.057606
292,피자헤븐 월계점,5.0,34,https://place.map.kakao.com/23585237,"
서울 노원구 광운로 33 2층
(지번) 월계동 402-19
",37.6205277,127.0585612
293,현덕육회,4.7,3,https://place.map.kakao.com/1431936902,"
서울 노원구 화랑로47길 4
(지번) 월계동 26-19
",37.6155352,127.0668555
294,착한족발 월계점,0.0,3,https://place.map.kakao.com/1377040460,"
서울 노원구 광운로 60 1층
(지번) 월계동 383-27
",37.6226132,127.0599702
295,파리바게뜨 월계점,2.0,0,https://place.map.kakao.com/8115111,"
서울 노원구 석계로7길 18
(지번) 월계동 68-6
",37.6161551,127.0634394
296,메가커피 광운대역점,3.3,0,https://place.map.kakao.com/1950122890,"
서울 노원구 석계로 103
(지번) 월계동 410-7
",37.6226759,127.0607205
297,스트릿츄러스 광운대점,4.4,1,https://place.map.kakao.com/2086560602,"
서울 노원구 광운로 21 동해문화예술회관 1층
(지번) 월계동 466
",37.619745,127.0575777
298,본죽 월계점,5.0,0,https://place.map.kakao.com/15183424,"
서울 노원구 월계로 370 희성프라자 1층 126호
(지번) 월계동 321-2
",37.6308761,127.0610421
299,날보러와요,1.0,2,https://place.map.kakao.com/27049063,"
서울 노원구 초안산로2라길 37
(지번) 월계동 276-20
",37.63101899999999,127.058396
300,크래버대게나라 노원점,4.2,218,https://place.map.kakao.com/1028261118,"
서울 노원구 한글비석로 326 1층
(지번) 중계동 369-9
",37.6564743,127.078292
301,돈까스먹는용만이,3.6,122,https://place.map.kakao.com/12460195,"
서울 노원구 한글비석로20길 52
(지번) 중계동 140-42
",37.6612172,127.0745963
302,호접몽,3.6,37,https://place.map.kakao.com/8177898,"
서울 노원구 중계로18길 9
(지번) 중계동 366-15
",37.651092,127.0777783
303,중계고기파티,4.0,127,https://place.map.kakao.com/282482500,"
서울 노원구 중계로12길 6 1층
(지번) 중계동 58-8
",37.6475933,127.081126
304,이종구낙지세상,4.4,23,https://place.map.kakao.com/26895444,"
서울 노원구 중계로 90 우암타운 1층
(지번) 중계동 27
",37.643852,127.0838058
